### Decisions ###;;;;;;;;;;;;;;x
EVTOPTA252001;Death to the enemies of national organisation!;;;;;;;;;;;;;x
EVTNAME252002;Unitarians Redouble Efforts in $COUNTRY$;;;;;;;;;;;;;x
EVTDESC252002;The Unitarians in $COUNTRY$ are emboldened and are rallying support for their cause both internally and abroad. The names of the victims of Rosas and his lackeys are displayed in the newspapers while the sky blue flags are flown on the buildings and during parades.\n\nNow that the yoke of Rosismo is lifted the political classes are lively with discussion. With the end of the old regime a possibility, what shall take its place?;;;;;;;;;;;;;x
EVTOPTA252002;Death to the enemies of national organisation!;;;;;;;;;;;;;x
EVTNAME252010;Letter from Concerned Citizens;;;;;;;;;;;;;x
EVTDESC252010;To the Restorer of the Laws from your friends at the Sociedad Popular Restauradora, $PROVINCENAME$ chapter. We must report troubling developments: people have been holding political meetings, firebrands disseminate obscene pamphlets in the city streets, and conspiratorial whispers can be heard in the pews after Mass. Worst of all, young men have been seen walking about with their breast bare of the bright poppy badge that all good Federalists wear.\n\nThere is no mistaking it: the stench of the savage Unitarian is in the air. Not just in $PROVINCENAME$, but all throughout $STATENAME$. We fellow patriots ask what should be done.;;;;;;;;;;;;;x
EVTOPTA252010;We must organise. Hold a meeting of the Restorers.;;;;;;;;;;;;;x
EVTOPTB252010;Take to the streets to revive the Federalist spirit.;;;;;;;;;;;;;x
EVTOPTC252010;Fret not. The Mazorca will see to these troublemakers.;;;;;;;;;;;;;x
EVTNAME252020;The Buenos Aires Customs Debate;;;;;;;;;;;;;x
EVTNAME252020_sub;TBD Customs debate subheading;;;;;;;;;;;;;x
EVTDESC252020;Should the Buenos Aires customs be abolished?\n\n§RThis debate is less frequent as long as most life needs of your pops are being met. (Thresholds are 50%, 60%, and 70% for the Poor, Middle, and Rich strata respectively.)§!;;;;;;;;;;;;;x
EVTOPTA252020;Insist that Porteño interests should prevail.;;;;;;;;;;;;;x
EVTOPTB252020;The duties are paid by Argentines all over. This revenue belongs to the nation (protectionism).;;;;;;;;;;;;;x
EVTOPTC252020;The duties are paid by Argentines all over. This revenue belongs to the nation (free trade).;;;;;;;;;;;;;x
EVTOPTD252020;TBD opt out?;;;;;;;;;;;;;x
EVTNAME252021;The Buenos Aires Customs Debate;;;;;;;;;;;;;x
EVTDESC252021;Should Buenos Aires get all of the monies, or only some of it?;;;;;;;;;;;;;x
EVTOPTA252021;Porteños interests should prevail.;;;;;;;;;;;;;x
EVTOPTB252021;We must not upset the Caudillos.;;;;;;;;;;;;;x
### Modifiers ###;;;;;;;;;;;;;;x
rosas_repression;Ongoing Rosista Terror;;;;;;;;;;;;;x
federalist_efforts;Ongoing Federalist Efforts;;;;;;;;;;;;;x
unitarian_efforts;Ongoing Unitarian Efforts;;;;;;;;;;;;;x
buenos_aires_customs_monopoly;Buenos Aires Customs Monopoly;;;;;;;;;;;;;x
buenos_aires_customs_income;Buenos Aires Customs Income;;;;;;;;;;;;;x
### Flags ###;;;;;;;;;;;;;;x
desc_rosas_repression;??Ongoing Rosista Repression;;;;;;;;;;;;;x
desc_federalist_efforts;??Ongoing Federalist Efforts;;;;;;;;;;;;;x
desc_unitarian_efforts;??Ongoing Unitarian Efforts;;;;;;;;;;;;;x
