### This localisation file has been automatically generated ###;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
#   <https://github.com/moretrim/trait-lineariser>            #;;;;;;;;;;;;;;
## UI tweaks;;;;;;;;;;;;;;
aggressivexprofessor;§u–1§! §u–1§!         §G!!!§! Aggressive, professor;§u–1§! §u–1§!         §G!!!§! Agressif, professeur;§u–1§! §u–1§!         §G!!!§! Aggressiv, professor;;;;;;;;;;;
aggressivexold_school;§h+2§! §u–2§!         §G!!!§! Aggressive, old school;§h+2§! §u–2§!         §G!!!§! Agressif, vieille école;§h+2§! §u–2§!         §G!!!§! Aggressiv, alte schule;;;;;;;;;;;
aggressivexeccentric_genius;§G+3§!                 Aggressive, eccentric genius;§G+3§!                 Agressif, génie excentrique;§G+3§!                 Aggressiv, exzentrisches genie;;;;;;;;;;;
aggressivexgifted_administrator;§h+1§!              §h?§! Aggressive, gifted administrator;§h+1§!              §h?§! Agressif, administrateur doué;§h+1§!              §h?§! Aggressiv, begabter administrator;;;;;;;;;;;
aggressivexinnovative_tactician;§h+2§!                 Aggressive, innovative tactician;§h+2§!                 Agressif, tacticien novateur;§h+2§!                 Aggressiv, innovativer taktiker;;;;;;;;;;;
aggressivexexpert_raider;§G+3§!                 Aggressive, expert raider;§G+3§!                 Agressif, commando expérimenté;§G+3§!                 Aggressiv, überfallexperte;;;;;;;;;;;
aggressivexnatural_born_leader;§h+2§!              §h?§! Aggressive, natural born leader;§h+2§!              §h?§! Agressif, leader naturel;§h+2§!              §h?§! Aggressiv, geborener anführer;;;;;;;;;;;
aggressivexmegalomaniac;§u–1§!                 Aggressive, megalomaniac;§u–1§!                 Agressif, mégalomane;§u–1§!                 Aggressiv, megalomane;;;;;;;;;;;
aggressivexhated;§h+2§! §h+1§!         §R¡¡¡§! Aggressive, hated;§h+2§! §h+1§!         §R¡¡¡§! Agressif, odieux;§h+2§! §h+1§!         §R¡¡¡§! Aggressiv, gehasst;;;;;;;;;;;
aggressivexcursed_luck;§G+3§! §h+2§!         §R¡¡¡§! Aggressive, cursed luck;§G+3§! §h+2§!         §R¡¡¡§! Agressif, malchanceux;§G+3§! §h+2§!         §R¡¡¡§! Aggressiv, vom pech verflucht;;;;;;;;;;;
aggressivexclueless;§u–1§!              §R¡¡¡§! Aggressive, clueless;§u–1§!              §R¡¡¡§! Agressif, ignorant;§u–1§!              §R¡¡¡§! Aggressiv, ahnungslos;;;;;;;;;;;
aggressivexdiplomat;§h+1§!      §u  –5%§!   Aggressive, diplomat;§h+1§!      §u  –5%§!   Agressif, diplomate;§h+1§!      §u  –5%§!   Aggressiv, diplomat;;;;;;;;;;;
aggressivexpowerful_friends;§h+1§!      §u–10%§!   Aggressive, powerful friends;§h+1§!      §u–10%§!   Agressif, amis puissants;§h+1§!      §u–10%§!   Aggressiv, mächtige freunde;;;;;;;;;;;
aggressiveximmoral;§h+1§!              §u¿§! Aggressive, immoral;§h+1§!              §u¿§! Agressif, immoral;§h+1§!              §u¿§! Aggressiv, unmoralisch;;;;;;;;;;;
aggressivexwomanizer;§h+1§!              §G!!!§! Aggressive, womanizer;§h+1§!              §G!!!§! Agressif, coureur de jupons;§h+1§!              §G!!!§! Aggressiv, schürzenjäger;;;;;;;;;;;
aggressivexwarmonger;§h+1§!      §h+10%§!§R¡¡¡§! Aggressive, warmonger;§h+1§!      §h+10%§!§R¡¡¡§! Agressif, belliciste;§h+1§!      §h+10%§!§R¡¡¡§! Aggressiv, kriegstreiber;;;;;;;;;;;
aggressivexcorrupt;§h+1§!              §R¡¡¡§! Aggressive, corrupt;§h+1§!              §R¡¡¡§! Agressif, corrompu;§h+1§!              §R¡¡¡§! Aggressiv, korrupt;;;;;;;;;;;
aggressivexbootlicker;§h+1§! §h+1§!            Aggressive, bootlicker;§h+1§! §h+1§!            Agressif, lèche-bottes;§h+1§! §h+1§!            Aggressiv, speichellecker;;;;;;;;;;;
aggressivexsycophant;§h+1§!              §G!!!§! Aggressive, sycophant;§h+1§!              §G!!!§! Agressif, flagorneur;§h+1§!              §G!!!§! Aggressiv, kriecher;;;;;;;;;;;
aggressivextoady;§h+2§!              §h?§! Aggressive, toady;§h+2§!              §h?§! Agressif, flatteur;§h+2§!              §h?§! Aggressiv, schleimer;;;;;;;;;;;
aggressivexyesman;§h+1§!                 Aggressive, yesman;§h+1§!                 Agressif, béni-oui-oui;§h+1§!                 Aggressiv, jasager;;;;;;;;;;;
aggressivexbrownnoser;§h+2§!                 Aggressive, brownnoser;§h+2§!                 Agressif, lèche-cul;§h+2§!                 Aggressiv, stiefellecker;;;;;;;;;;;
aggressivexspoiled;§G+3§!                 Aggressive, spoiled;§G+3§!                 Agressif, gâté;§G+3§!                 Aggressiv, verwöhnt;;;;;;;;;;;
aggressivexschool_of_defense;§h+1§! §G+3§!            Aggressive, school of defense;§h+1§! §G+3§!            Agressif, école de défense;§h+1§! §G+3§!            Aggressiv, schule der verteidigung;;;;;;;;;;;
aggressivexschool_of_offense;§h+2§!      §h+10%§!§h?§! Aggressive, school of offense;§h+2§!      §h+10%§!§h?§! Agressif, école d'attaque;§h+2§!      §h+10%§!§h?§! Aggressiv, schule der offensive;;;;;;;;;;;
aggressivexschool_of_the_bayonet;§G+3§! §h+1§! §h+10%§!   Aggressive, school of the bayonet;§G+3§! §h+1§! §h+10%§!   Agressif, école de la baïonnette;§G+3§! §h+1§! §h+10%§!   Aggressiv, schule des bajonetts;;;;;;;;;;;
aggressivexschool_of_firepower;§h+2§!              §G!!!§! Aggressive, school of firepower;§h+2§!              §G!!!§! Agressif, école de la puissance de feu;§h+2§!              §G!!!§! Aggressiv, schule der feuerkraft;;;;;;;;;;;
aggressivexartillerist;§h+1§! §h+1§!         §h?§! Aggressive, artillerist;§h+1§! §h+1§!         §h?§! Agressif, artilleur;§h+1§! §h+1§!         §h?§! Aggressiv, artillerist;;;;;;;;;;;
aggressivexuncommonly_young;§h+2§! §h+1§!            Aggressive, uncommonly young;§h+2§! §h+1§!            Agressif, singulièrement jeune;§h+2§! §h+1§!            Aggressiv, ungewöhnlich jung;;;;;;;;;;;
aggressivexsucker;§u–1§!                 Aggressive, sucker;§u–1§!                 Agressif, gogo;§u–1§!                 Aggressiv, trottel;;;;;;;;;;;
aggressivexsad_sack;§u–1§!                 Aggressive, sad sack;§u–1§!                 Agressif, raté;§u–1§!                 Aggressiv, trauriger sack;;;;;;;;;;;
aggressivexunfit;§u–1§!              §R¡¡¡§! Aggressive, unfit;§u–1§!              §R¡¡¡§! Agressif, inapte;§u–1§!              §R¡¡¡§! Aggressiv, ungeeignet;;;;;;;;;;;
aggressivexunqualified;§h+1§!      §u–10%§!   Aggressive, unqualified;§h+1§!      §u–10%§!   Agressif, non qualifié;§h+1§!      §u–10%§!   Aggressiv, unqualifiziert;;;;;;;;;;;
aggressivexpawn;§h+1§!                 Aggressive, pawn;§h+1§!                 Agressif, pion;§h+1§!                 Aggressiv, pfand;;;;;;;;;;;
aggressivexelderly;§h+1§!                 Aggressive, elderly;§h+1§!                 Agressif, âgé;§h+1§!                 Aggressiv, älter;;;;;;;;;;;
aggressivexincompetent;§h+1§!                 Aggressive, incompetent;§h+1§!                 Agressif, incompétent;§h+1§!                 Aggressiv, inkompetent;;;;;;;;;;;
relentlessxnationalist;§G+3§!              §G!!!§! Relentless, nationalist;;;;;;;;;;;;;
relentlessxwar_college;§G+3§!                 Relentless, war college;§G+3§!                 Implacable, école militaire;§G+3§!                 Unbarmherzig, militärakademie;;;;;;;;;;;
relentlessxcavalry_school;§G+4§!                 Relentless, cavalry school;§G+4§!                 Implacable, école de cavalerie;§G+4§!                 Unbarmherzig, kavallerieschule;;;;;;;;;;;
relentlessxengineer;§h+2§!      §h  +5%§!   Relentless, engineer;§h+2§!      §h  +5%§!   Implacable, génie;§h+2§!      §h  +5%§!   Unbarmherzig, ingenieur;;;;;;;;;;;
relentlessxarmchair_general;§h+2§!      §h+10%§!   Relentless, armchair general;§h+2§!      §h+10%§!   Implacable, général de façade;§h+2§!      §h+10%§!   Unbarmherzig, sesselgeneral;;;;;;;;;;;
relentlessxbureaucrat_speed;§h+2§!      §h+15%§!   Relentless, bureaucrat speed;§h+2§!      §h+15%§!   Implacable, vitesse de bureaucrate;§h+2§!      §h+15%§!   Unbarmherzig, bürokratische geschwindigkeit;;;;;;;;;;;
relentlessxgenerals_aide;§h+2§! §h+1§!            Relentless, general's aide;§h+2§! §h+1§!            Implacable, aide de camp;§h+2§! §h+1§!            Unbarmherzig, generalsadjutant;;;;;;;;;;;
relentlessxamateur;§h+2§! §u–1§! §u–25%§!   Relentless, amateur;§h+2§! §u–1§! §u–25%§!   Implacable, amateur;§h+2§! §u–1§! §u–25%§!   Unbarmherzig, amateur;;;;;;;;;;;
relentlessxmadman;§h+2§!              §u¿§! Relentless, madman;§h+2§!              §u¿§! Implacable, fou;§h+2§!              §u¿§! Unbarmherzig, irrer;;;;;;;;;;;
relentlessxaristocrat;§h+2§!              §h?§! Relentless, aristocrat;§h+2§!              §h?§! Implacable, aristocrate;§h+2§!              §h?§! Unbarmherzig, aristokrat;;;;;;;;;;;
relentlessxdrillmaster;§h+2§!              §G!!!§! Relentless, drillmaster;§h+2§!              §G!!!§! Implacable, sergent instructeur;§h+2§!              §G!!!§! Unbarmherzig, zuchtmeister;;;;;;;;;;;
relentlessxbutcher;§h+2§!                 Relentless, butcher;§h+2§!                 Implacable, boucher;§h+2§!                 Unbarmherzig, schlächter;;;;;;;;;;;
relentlessxexranker;§h+2§!              §u¿§! Relentless, exranker;§h+2§!              §u¿§! Implacable, ancien militaire;§h+2§!              §u¿§! Unbarmherzig, ex-gefreiter;;;;;;;;;;;
relentlessxadventurer;§G+4§!                 Relentless, adventurer;§G+4§!                 Implacable, aventurier;§G+4§!                 Unbarmherzig, abenteurer;;;;;;;;;;;
relentlessxdebutante;§h+2§!                 Relentless, debutante;§h+2§!                 Implacable, débutant;§h+2§!                 Unbarmherzig, debütant;;;;;;;;;;;
relentlessxcolonial_b;§h+2§! §u–2§! §h+20%§!   Relentless, colonial;§h+2§! §u–2§! §h+20%§!   Implacable, colonial;§h+2§! §u–2§! §h+20%§!   Unbarmherzig, kolonial;;;;;;;;;;;
relentlessxdisgraced;§h+2§!                 Relentless, disgraced;§h+2§!                 Implacable, déshonoré;§h+2§!                 Unbarmherzig, in ungnade gefallener;;;;;;;;;;;
relentlessxpriest;§h+2§!                 Relentless, priest;§h+2§!                 Implacable, prêtre;§h+2§!                 Unbarmherzig, priester;;;;;;;;;;;
relentlessxrising_star;§h+2§!                 Relentless, rising star;§h+2§!                 Implacable, étoile montante;§h+2§!                 Unbarmherzig, aufsteigender stern;;;;;;;;;;;
relentlessxpolitician;§h+2§!              §u¿§! Relentless, politician;§h+2§!              §u¿§! Implacable, politicien;§h+2§!              §u¿§! Unbarmherzig, politiker;;;;;;;;;;;
relentlessxpoet;§h+1§!              §G!!!§! Relentless, poet;§h+1§!              §G!!!§! Implacable, poète;§h+1§!              §G!!!§! Unbarmherzig, poet;;;;;;;;;;;
relentlessxcartographer;§h+2§!      §G+40%§!   Relentless, cartographer;§h+2§!      §G+40%§!   Implacable, cartographe;§h+2§!      §G+40%§!   Unbarmherzig, kartograf;;;;;;;;;;;
relentlessxprofessor;§h+1§! §u–1§!         §G!!!§! Relentless, professor;§h+1§! §u–1§!         §G!!!§! Implacable, professeur;§h+1§! §u–1§!         §G!!!§! Unbarmherzig, professor;;;;;;;;;;;
relentlessxold_school;§G+3§! §u–2§!         §G!!!§! Relentless, old school;§G+3§! §u–2§!         §G!!!§! Implacable, vieille école;§G+3§! §u–2§!         §G!!!§! Unbarmherzig, alte schule;;;;;;;;;;;
relentlessxeccentric_genius;§G+4§!                 Relentless, eccentric genius;§G+4§!                 Implacable, génie excentrique;§G+4§!                 Unbarmherzig, exzentrisches genie;;;;;;;;;;;
relentlessxgifted_administrator;§h+2§!              §h?§! Relentless, gifted administrator;§h+2§!              §h?§! Implacable, administrateur doué;§h+2§!              §h?§! Unbarmherzig, begabter administrator;;;;;;;;;;;
relentlessxinnovative_tactician;§G+3§!                 Relentless, innovative tactician;§G+3§!                 Implacable, tacticien novateur;§G+3§!                 Unbarmherzig, innovativer taktiker;;;;;;;;;;;
relentlessxexpert_raider;§G+4§!                 Relentless, expert raider;§G+4§!                 Implacable, commando expérimenté;§G+4§!                 Unbarmherzig, überfallexperte;;;;;;;;;;;
relentlessxnatural_born_leader;§G+3§!              §h?§! Relentless, natural born leader;§G+3§!              §h?§! Implacable, leader naturel;§G+3§!              §h?§! Unbarmherzig, geborener anführer;;;;;;;;;;;
relentlessxmegalomaniac;§u–2§!                 Relentless, megalomaniac;§u–2§!                 Implacable, mégalomane;§u–2§!                 Unbarmherzig, megalomane;;;;;;;;;;;
relentlessxhated;§G+3§! §h+1§!         §R¡¡¡§! Relentless, hated;§G+3§! §h+1§!         §R¡¡¡§! Implacable, odieux;§G+3§! §h+1§!         §R¡¡¡§! Unbarmherzig, gehasst;;;;;;;;;;;
relentlessxcursed_luck;§G+4§! §h+2§!         §R¡¡¡§! Relentless, cursed luck;§G+4§! §h+2§!         §R¡¡¡§! Implacable, malchanceux;§G+4§! §h+2§!         §R¡¡¡§! Unbarmherzig, vom pech verflucht;;;;;;;;;;;
relentlessxclueless;§h+1§!              §R¡¡¡§! Relentless, clueless;§h+1§!              §R¡¡¡§! Implacable, ignorant;§h+1§!              §R¡¡¡§! Unbarmherzig, ahnungslos;;;;;;;;;;;
relentlessxdiplomat;§h+2§!      §u  –5%§!   Relentless, diplomat;§h+2§!      §u  –5%§!   Implacable, diplomate;§h+2§!      §u  –5%§!   Unbarmherzig, diplomat;;;;;;;;;;;
relentlessxpowerful_friends;§h+2§!      §u–10%§!   Relentless, powerful friends;§h+2§!      §u–10%§!   Implacable, amis puissants;§h+2§!      §u–10%§!   Unbarmherzig, mächtige freunde;;;;;;;;;;;
relentlessximmoral;§h+2§!              §u¿§! Relentless, immoral;§h+2§!              §u¿§! Implacable, immoral;§h+2§!              §u¿§! Unbarmherzig, unmoralisch;;;;;;;;;;;
relentlessxwomanizer;§h+2§!              §G!!!§! Relentless, womanizer;§h+2§!              §G!!!§! Implacable, coureur de jupons;§h+2§!              §G!!!§! Unbarmherzig, schürzenjäger;;;;;;;;;;;
relentlessxwarmonger;§h+2§!      §h+10%§!§R¡¡¡§! Relentless, warmonger;§h+2§!      §h+10%§!§R¡¡¡§! Implacable, belliciste;§h+2§!      §h+10%§!§R¡¡¡§! Unbarmherzig, kriegstreiber;;;;;;;;;;;
relentlessxcorrupt;§h+2§!              §R¡¡¡§! Relentless, corrupt;§h+2§!              §R¡¡¡§! Implacable, corrompu;§h+2§!              §R¡¡¡§! Unbarmherzig, korrupt;;;;;;;;;;;
relentlessxbootlicker;§h+2§! §h+1§!            Relentless, bootlicker;§h+2§! §h+1§!            Implacable, lèche-bottes;§h+2§! §h+1§!            Unbarmherzig, speichellecker;;;;;;;;;;;
relentlessxsycophant;§h+2§!              §G!!!§! Relentless, sycophant;§h+2§!              §G!!!§! Implacable, flagorneur;§h+2§!              §G!!!§! Unbarmherzig, kriecher;;;;;;;;;;;
relentlessxtoady;§G+3§!              §h?§! Relentless, toady;§G+3§!              §h?§! Implacable, flatteur;§G+3§!              §h?§! Unbarmherzig, schleimer;;;;;;;;;;;
relentlessxyesman;§h+2§!                 Relentless, yesman;§h+2§!                 Implacable, béni-oui-oui;§h+2§!                 Unbarmherzig, jasager;;;;;;;;;;;
relentlessxbrownnoser;§G+3§!                 Relentless, brownnoser;§G+3§!                 Implacable, lèche-cul;§G+3§!                 Unbarmherzig, stiefellecker;;;;;;;;;;;
relentlessxspoiled;§G+4§!                 Relentless, spoiled;§G+4§!                 Implacable, gâté;§G+4§!                 Unbarmherzig, verwöhnt;;;;;;;;;;;
relentlessxschool_of_defense;§h+2§! §G+3§!            Relentless, school of defense;§h+2§! §G+3§!            Implacable, école de défense;§h+2§! §G+3§!            Unbarmherzig, schule der verteidigung;;;;;;;;;;;
relentlessxschool_of_offense;§G+3§!      §h+10%§!§h?§! Relentless, school of offense;§G+3§!      §h+10%§!§h?§! Implacable, école d'attaque;§G+3§!      §h+10%§!§h?§! Unbarmherzig, schule der offensive;;;;;;;;;;;
relentlessxschool_of_the_bayonet;§G+4§! §h+1§! §h+10%§!   Relentless, school of the bayonet;§G+4§! §h+1§! §h+10%§!   Implacable, école de la baïonnette;§G+4§! §h+1§! §h+10%§!   Unbarmherzig, schule des bajonetts;;;;;;;;;;;
relentlessxschool_of_firepower;§G+3§!              §G!!!§! Relentless, school of firepower;§G+3§!              §G!!!§! Implacable, école de la puissance de feu;§G+3§!              §G!!!§! Unbarmherzig, schule der feuerkraft;;;;;;;;;;;
relentlessxartillerist;§h+2§! §h+1§!         §h?§! Relentless, artillerist;§h+2§! §h+1§!         §h?§! Implacable, artilleur;§h+2§! §h+1§!         §h?§! Unbarmherzig, artillerist;;;;;;;;;;;
relentlessxuncommonly_young;§G+3§! §h+1§!            Relentless, uncommonly young;§G+3§! §h+1§!            Implacable, singulièrement jeune;§G+3§! §h+1§!            Unbarmherzig, ungewöhnlich jung;;;;;;;;;;;
relentlessxsucker;§h+1§!                 Relentless, sucker;§h+1§!                 Implacable, gogo;§h+1§!                 Unbarmherzig, trottel;;;;;;;;;;;
relentlessxsad_sack;§u–2§!                 Relentless, sad sack;§u–2§!                 Implacable, raté;§u–2§!                 Unbarmherzig, trauriger sack;;;;;;;;;;;
relentlessxunfit;§u–2§!              §R¡¡¡§! Relentless, unfit;§u–2§!              §R¡¡¡§! Implacable, inapte;§u–2§!              §R¡¡¡§! Unbarmherzig, ungeeignet;;;;;;;;;;;
relentlessxunqualified;§h+2§!      §u–10%§!   Relentless, unqualified;§h+2§!      §u–10%§!   Implacable, non qualifié;§h+2§!      §u–10%§!   Unbarmherzig, unqualifiziert;;;;;;;;;;;
relentlessxpawn;§h+2§!                 Relentless, pawn;§h+2§!                 Implacable, pion;§h+2§!                 Unbarmherzig, pfand;;;;;;;;;;;
relentlessxelderly;§h+2§!                 Relentless, elderly;§h+2§!                 Implacable, âgé;§h+2§!                 Unbarmherzig, älter;;;;;;;;;;;
relentlessxincompetent;§h+2§!                 Relentless, incompetent;§h+2§!                 Implacable, incompétent;§h+2§!                 Unbarmherzig, inkompetent;;;;;;;;;;;
active_pxnationalist;§h+1§!      §h  +5%§!§G!!!§! Active, nationalist;;;;;;;;;;;;;
active_pxwar_college;§h+1§!      §h  +5%§!   Active, war college;§h+1§!      §h  +5%§!   Actif, école militaire;§h+1§!      §h  +5%§!   Aktiv, militärakademie;;;;;;;;;;;
active_pxcavalry_school;§h+2§!      §h  +5%§!   Active, cavalry school;§h+2§!      §h  +5%§!   Actif, école de cavalerie;§h+2§!      §h  +5%§!   Aktiv, kavallerieschule;;;;;;;;;;;
active_pxengineer;          §h+10%§!   Active, engineer;          §h+10%§!   Actif, génie;          §h+10%§!   Aktiv, ingenieur;;;;;;;;;;;
active_pxarmchair_general;          §h+15%§!   Active, armchair general;          §h+15%§!   Actif, général de façade;          §h+15%§!   Aktiv, sesselgeneral;;;;;;;;;;;
active_pxbureaucrat_speed;          §h+20%§!   Active, bureaucrat speed;          §h+20%§!   Actif, vitesse de bureaucrate;          §h+20%§!   Aktiv, bürokratische geschwindigkeit;;;;;;;;;;;
active_pxgenerals_aide;     §h+1§! §h  +5%§!   Active, general's aide;     §h+1§! §h  +5%§!   Actif, aide de camp;     §h+1§! §h  +5%§!   Aktiv, generalsadjutant;;;;;;;;;;;
active_pxamateur;     §u–1§! §u–20%§!   Active, amateur;     §u–1§! §u–20%§!   Actif, amateur;     §u–1§! §u–20%§!   Aktiv, amateur;;;;;;;;;;;
active_pxmadman;          §h  +5%§!§u¿§! Active, madman;          §h  +5%§!§u¿§! Actif, fou;          §h  +5%§!§u¿§! Aktiv, irrer;;;;;;;;;;;
active_pxaristocrat;          §h  +5%§!§h?§! Active, aristocrat;          §h  +5%§!§h?§! Actif, aristocrate;          §h  +5%§!§h?§! Aktiv, aristokrat;;;;;;;;;;;
active_pxdrillmaster;          §h  +5%§!§G!!!§! Active, drillmaster;          §h  +5%§!§G!!!§! Actif, sergent instructeur;          §h  +5%§!§G!!!§! Aktiv, zuchtmeister;;;;;;;;;;;
active_pxbutcher;          §h  +5%§!   Active, butcher;          §h  +5%§!   Actif, boucher;          §h  +5%§!   Aktiv, schlächter;;;;;;;;;;;
active_pxexranker;          §h  +5%§!§u¿§! Active, exranker;          §h  +5%§!§u¿§! Actif, ancien militaire;          §h  +5%§!§u¿§! Aktiv, ex-gefreiter;;;;;;;;;;;
active_pxadventurer;§h+2§!      §h  +5%§!   Active, adventurer;§h+2§!      §h  +5%§!   Actif, aventurier;§h+2§!      §h  +5%§!   Aktiv, abenteurer;;;;;;;;;;;
active_pxdebutante;          §h  +5%§!   Active, debutante;          §h  +5%§!   Actif, débutant;          §h  +5%§!   Aktiv, debütant;;;;;;;;;;;
active_pxcolonial_b;     §u–2§! §h+25%§!   Active, colonial;     §u–2§! §h+25%§!   Actif, colonial;     §u–2§! §h+25%§!   Aktiv, kolonial;;;;;;;;;;;
active_pxdisgraced;          §h  +5%§!   Active, disgraced;          §h  +5%§!   Actif, déshonoré;          §h  +5%§!   Aktiv, in ungnade gefallener;;;;;;;;;;;
active_pxpriest;          §h  +5%§!   Active, priest;          §h  +5%§!   Actif, prêtre;          §h  +5%§!   Aktiv, priester;;;;;;;;;;;
active_pxrising_star;          §h  +5%§!   Active, rising star;          §h  +5%§!   Actif, étoile montante;          §h  +5%§!   Aktiv, aufsteigender stern;;;;;;;;;;;
active_pxpolitician;          §h  +5%§!§u¿§! Active, politician;          §h  +5%§!§u¿§! Actif, politicien;          §h  +5%§!§u¿§! Aktiv, politiker;;;;;;;;;;;
active_pxpoet;§u–1§!      §h  +5%§!§G!!!§! Active, poet;§u–1§!      §h  +5%§!§G!!!§! Actif, poète;§u–1§!      §h  +5%§!§G!!!§! Aktiv, poet;;;;;;;;;;;
active_pxcartographer;          §G+45%§!   Active, cartographer;          §G+45%§!   Actif, cartographe;          §G+45%§!   Aktiv, kartograf;;;;;;;;;;;
